DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Ano 1º Sintoma(s) e Semana epidem. 1º Sintomas(s)
Período:2020
"Ano 1º Sintoma(s)";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"1983";-;-;-;-;1;-;-;1;-;1;-;-;1;1;1;1;-;-;-;1;-;2;2;1;2;3;-;3;1;1;-;2;-;-;-;1;2;2;-;-;-;1;1;-;1;1;1;-;-;3;-;1;-;-;39
"1984";-;1;-;-;-;-;-;1;1;3;3;1;-;-;-;1;1;-;-;2;-;-;1;-;-;-;-;-;1;2;-;-;-;1;-;-;2;-;1;2;-;-;-;-;-;-;-;-;3;-;-;1;1;-;29
"1985";-;-;-;1;1;2;3;1;-;-;-;-;-;1;2;1;-;2;1;-;1;-;-;1;2;1;1;1;-;-;-;1;1;1;1;3;1;1;1;-;-;1;2;1;-;1;1;-;2;1;-;-;-;-;41
"1986";-;-;2;-;3;1;1;-;2;1;1;3;3;1;1;-;1;-;1;-;-;-;1;2;1;1;1;1;1;-;-;1;1;1;1;-;-;1;1;-;-;-;1;-;-;1;-;1;1;3;2;1;-;-;45
"1987";-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;1;2;2;2;-;-;1;-;-;-;-;-;-;2;2;1;-;1;1;-;-;-;1;-;-;1;2;1;2;1;1;1;-;1;2;1;1;-;34
"1988";-;1;-;1;1;1;-;2;3;-;2;1;1;1;-;1;-;-;1;-;1;-;2;-;-;1;1;-;-;2;-;-;3;1;-;-;-;-;-;1;-;-;-;2;1;1;2;1;2;-;-;-;2;-;39
"1989";-;-;-;2;2;-;2;-;2;-;2;-;-;2;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;1;1;1;1;2;-;-;-;1;1;2;2;-;1;2;2;-;-;1;1;-;-;-;1;-;37
"1990";-;-;-;-;1;-;1;-;4;-;-;-;-;1;3;1;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;2;1;1;1;3;2;1;-;-;-;1;-;-;1;-;2;1;-;1;-;1;1;-;34
"1991";-;2;-;-;-;1;-;1;-;1;-;1;1;1;1;2;1;2;-;-;-;-;-;2;-;4;-;1;-;-;2;-;-;-;1;-;-;-;-;1;1;1;1;-;-;-;-;-;-;1;2;-;-;-;31
"1992";-;-;-;1;-;1;-;3;-;2;-;-;1;-;1;1;1;1;1;2;2;-;1;1;1;-;-;1;-;-;1;1;-;-;1;1;-;1;-;3;-;-;-;-;-;-;1;2;-;2;1;-;-;-;35
"1993";-;1;-;1;-;2;1;2;1;1;-;2;1;-;2;-;1;1;1;-;-;-;-;1;2;-;-;-;3;1;1;1;1;1;2;-;-;1;-;-;1;-;-;1;-;1;1;2;-;-;1;-;-;-;38
"1994";-;3;1;-;-;1;1;-;1;4;3;-;-;1;1;1;-;1;2;-;1;1;1;1;1;-;1;-;-;2;1;1;1;-;-;1;-;2;1;1;1;1;1;-;-;-;-;-;-;-;-;-;1;-;40
"1995";-;-;-;-;-;-;-;1;-;3;-;-;1;-;1;-;-;-;2;1;1;-;3;2;1;-;1;4;2;-;-;-;-;-;-;1;1;3;2;-;2;-;1;1;-;-;-;-;-;-;1;-;2;-;37
"1996";-;2;-;1;-;1;-;2;1;-;-;2;2;2;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;1;1;1;2;-;1;1;1;1;1;-;-;-;32
"1997";-;-;-;2;-;1;-;-;-;3;-;-;-;3;-;1;-;1;-;-;-;2;3;1;1;-;-;1;-;2;-;-;-;-;-;3;1;2;3;-;1;-;1;-;-;-;-;2;-;-;1;1;-;2;38
"1998";-;-;1;-;-;2;2;-;2;1;-;-;2;1;-;2;-;-;-;1;-;-;1;3;1;-;2;2;-;-;2;2;1;-;-;-;3;1;-;1;-;1;-;1;-;-;-;1;3;1;2;4;-;-;46
"1999";-;1;1;-;2;-;1;2;-;1;-;-;-;1;-;1;2;-;1;2;2;1;-;2;1;1;-;-;-;1;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;1;-;31
"2000";-;1;-;2;1;5;1;5;3;4;1;-;4;-;-;-;2;1;1;1;1;-;3;-;-;-;2;-;2;1;1;2;-;-;1;-;-;-;1;-;-;1;-;-;2;-;-;-;-;1;1;-;1;-;52
"2001";-;-;-;2;1;-;-;1;-;-;1;4;1;1;-;1;-;1;-;1;-;-;1;-;2;-;-;1;1;-;1;2;1;2;-;-;-;1;-;-;-;1;1;1;-;2;-;-;-;1;-;-;-;-;32
"2002";-;2;1;-;1;1;3;2;8;5;2;2;5;1;3;-;2;3;3;1;2;1;1;-;1;4;-;1;1;1;1;-;1;1;-;-;-;-;2;1;-;-;-;-;1;-;1;1;-;1;-;-;-;-;67
"2003";-;-;-;-;1;-;-;1;2;-;-;1;-;-;1;1;-;1;-;1;1;-;-;-;-;1;2;-;-;1;1;1;-;3;-;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;1;-;-;-;25
"2004";-;-;-;-;-;-;-;-;2;-;-;-;1;2;-;-;-;-;1;1;1;-;-;1;-;-;1;1;3;-;1;2;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;2;-;24
"2005";-;-;1;1;-;1;-;-;-;1;-;2;-;2;1;-;3;-;1;-;-;1;-;1;-;-;2;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;1;-;1;1;-;26
"2006";-;1;-;-;1;1;-;2;-;-;2;-;-;-;-;2;-;1;2;-;-;1;-;-;2;1;-;2;-;1;-;-;1;-;-;-;1;-;1;-;-;-;1;1;1;1;1;-;-;-;-;1;2;-;30
"2007";-;-;1;-;1;-;-;-;2;-;1;-;1;1;-;-;-;-;-;3;-;2;-;1;-;-;1;2;-;-;2;-;-;1;1;-;-;1;-;1;-;-;-;-;1;1;1;-;-;-;1;2;-;-;28
"2008";-;-;-;1;-;-;1;-;1;-;1;-;1;-;1;-;1;-;-;1;-;-;-;-;1;-;2;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;19
"2009";-;-;-;1;-;1;-;1;2;1;-;-;1;-;1;-;2;-;1;-;1;1;1;-;-;-;1;1;-;2;-;1;-;-;-;1;1;1;1;1;-;1;-;1;-;-;-;-;1;-;1;1;1;-;30
"2010";-;3;1;1;1;1;2;-;4;3;6;3;1;3;1;1;2;-;-;-;-;1;1;-;-;1;1;-;2;1;1;1;-;1;1;-;1;-;-;-;-;1;-;1;1;2;-;2;-;-;-;2;4;-;58
"2011";-;-;-;-;2;1;-;1;1;3;1;-;1;-;-;-;-;1;1;1;-;2;-;-;1;1;1;-;2;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;27
"2012";-;1;1;-;-;-;-;2;1;-;-;1;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;1;1;-;-;2;-;21
"2013";-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;1;-;-;-;1;-;-;1;-;1;1;1;1;-;-;-;-;-;1;-;1;-;-;2;1;-;1;-;21
"2014";-;-;1;-;-;1;-;3;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;17
"2015";-;3;-;-;3;1;1;1;1;-;-;-;-;-;-;1;-;1;1;-;2;-;-;-;1;-;1;1;1;-;-;1;2;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;2;-;-;1;-;29
"2016";-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;1;1;1;-;-;1;-;1;2;-;-;-;-;-;-;-;3;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;19
"2017";-;-;-;-;-;-;-;1;-;3;2;-;-;-;1;2;1;-;1;-;1;-;-;-;-;1;-;1;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;20
"2018";-;1;1;-;1;3;1;2;1;-;1;1;-;-;-;-;-;1;1;-;-;1;2;-;1;-;-;1;-;2;-;3;-;-;-;-;1;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;1;-;31
"2019";-;3965;26;22;32;54;8;11;17;27;13;23;14;26;18;15;18;22;13;5;7;5;13;22;10;4;6;11;14;9;7;2;6;5;3;3;3;1;7;3;7;9;6;7;18;16;18;57;55;157;224;635;4160;-;9839
"2020";-;9078;19180;25603;33455;37312;48135;54691;48624;52579;58859;54773;41617;39256;39679;40011;39292;35186;32333;30233;25719;20700;17021;14670;12871;12421;9795;9226;7867;6648;5580;4656;3876;3745;3051;2752;2662;2555;2463;2379;2273;2173;2008;2086;1783;2281;2317;2859;2870;3208;3411;3082;2388;1210;944502
"2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;131
"2022";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"2023";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"2024";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"2025";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";6;13077;19237;25653;33535;37414;48183;54757;48708;52663;58912;54831;41671;39324;39742;40068;39346;35243;32390;30278;25753;20743;17077;14730;12918;12461;9834;9279;7921;6698;5628;4714;3914;3787;3080;2789;2701;2590;2517;2416;2306;2203;2046;2125;1836;2324;2370;2952;2963;3396;3665;3747;6599;1343;956463
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 26/05/2025 às 10:00 horas, sujeitos à revisão.
 Dados de 2025 atualizados em 26/05/2025 às 03:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em maio de 2025.
 
